r1_fire,r1_gas,r1_water,r1_pir,r2_fire,r2_gas,r2_water,r2_pir,r3_fire,r3_gas,r3_water,r3_pir,r4_fire,r4_gas,r4_water,r4_pir,r5_fire,r5_gas,r5_water,r5_pir,label
0.0,96.7791811548352,99.57878083843745,0,0.0,96.80949877751371,101.48407750248572,0,0.0,102.38199333868202,103.5150016037758,0,0.0,100.32981371960214,99.61182808823206,0,0.0,96.45979582964165,101.29176504065198,0,0
0.0,101.98849385053038,101.60042549143701,0,0.0,98.82410857740355,95.00917160994184,0,0.0,100.92395409863653,99.46535181722223,0,0.0,98.6568864269356,97.9676258872171,0,0.0,93.2456438455623,98.29664328826307,0,0
0.0,101.82885183358101,97.87353945584708,0,0.0,100.80308428671131,95.4832799634071,0,0.0,97.24591603912981,97.04170714734965,0,0.0,96.78811837906422,99.02159657085703,0,0.0,98.15780733170588,99.78681061966135,0,0
0.0,101.49594865566897,103.6009403643767,0,0.0,98.96830114221423,96.76629238320129,0,0.0,100.49763257730248,98.52297676411902,0,0.0,107.97752097356178,104.67798103518717,0,0.0,107.04604187857758,97.13065148295809,0,0
0.0,103.34383994395478,97.15769985144347,0,0.0,95.51022809886572,101.20441644142609,0,0.0,102.21514218662185,97.72589241975052,0,0.0,99.39848457052948,96.71582667012329,0,0.0,93.77687535677931,95.71763689013734,0,0
0.0,101.17120460034388,97.76837010554041,0,0.0,101.4132930138389,100.08096964029556,0,0.0,102.55296917380613,95.82320977430686,0,0.0,103.72468197798933,98.53624336325711,0,0.0,105.74331978336707,98.18168029258584,0,0
0.0,101.86225034480913,102.00701852243918,0,0.0,95.54767699796103,98.90185770128059,0,0.0,98.48233001009169,100.01900741183326,0,0.0,95.91434473049155,100.15815505225939,0,0.0,94.37209481845763,104.11761408742913,0,0
0.0,255.57990211422322,101.7903299706053,0,0.0,272.5545955540477,103.81054780104752,0,0.0,303.4678861204692,100.39616511711577,1,0.0,333.09489725454756,100.39906041013036,0,0.0,357.72307374916784,104.63386218193268,0,1
0.0,100.19675256415198,98.34847985691452,0,0.0,102.29346100858507,103.51731810320359,0,0.0,101.25960491481898,101.3655729760977,0,0.0,99.94640015280285,97.1210905461481,0,0.0,95.57584903144523,99.95819448974774,0,0
0.0,97.30440246495986,97.18954648289268,0,0.0,100.27647428232173,104.3428255945047,0,0.0,94.64623931225753,101.57831114021745,0,0.0,100.19521075861634,103.76954034910062,0,0.0,96.4241678592949,96.94121322178883,0,0
0.0,100.49853608463172,98.65840271298757,0,0.0,97.06739860257305,95.9644927947815,0,0.0,101.92068989095165,96.68771981408224,0,0.0,102.28606804683554,99.1934257174164,0,0.0,101.36449736873291,96.55721447071909,0,0
0.0,99.30964395680269,102.69072736770505,0,0.0,95.94685618727662,95.92808622783808,0,0.0,104.1087853624987,100.8595537458238,0,0.0,101.43708485680305,96.32799370249317,0,0.0,102.9064563729527,97.06119336356753,0,0
0.0,98.17322039141072,96.74655658894982,0,0.0,100.89507240137118,96.72944653800822,0,0.0,100.55486211952493,103.39171927227105,0,0.0,99.09332391176993,103.83332200281428,0,0.0,92.85092219111664,103.22674192124539,0,0
0.0,100.26234729591977,102.313384895306,0,0.0,103.35495760418677,96.29136550380467,0,0.0,102.24864365443356,104.00320000809431,0,0.0,93.19752323049596,97.43513326318902,0,0.0,95.6456344784004,95.99700933083092,0,0
0.0,103.46702148768871,100.3902345707642,0,0.0,103.15338679817687,104.61921872972297,0,0.0,98.97871384583405,98.38376115255718,0,0.0,98.7306616094905,97.13520510815006,0,0.0,92.50033086287895,102.66179006183766,0,0
0.0,102.15520057979674,97.93889092074699,0,0.0,95.36192460240562,100.51329598202885,0,0.0,98.72380840725353,103.67864845903591,0,0.0,98.5260861673772,102.74450879761444,0,0.0,101.7508323484079,98.58782645390161,0,0
